ID_Ativo,Frequencia_Falhas,Tempo_Operacao,Numero_Clientes_Afetados,Tipo_Ativo,Localidade,Historico_Manutencao,Impacto_DEC_FEC,Data_Evento,Frequencia_Falhas_Norm,Tempo_Operacao_Norm,Impacto_DEC_FEC_Norm,Numero_Clientes_Afetados_Norm,Criticidade,Criticidade_Cenário 1,Criticidade_Cenário 2
A-0012,0,7.4,50,Transformador,Zona Oeste,Sim,1.89,2018-03-06,0.0,0.1512605042016807,0.03888419273034657,0.0,0.04191735865944011,0.02679130823927204,0.05704340907960818
A-0013,4,2.8,500,Transformador,Zona Norte,Sim,25.04,2024-03-25,0.5,0.0546218487394958,0.5281065088757396,0.47368421052631576,0.41672474346325267,0.46126255858930304,0.3721869283372022
A-0014,2,12.2,100,Religador,Zona Sul,Sim,9.74,2015-09-13,0.25,0.2521008403361345,0.20477599323753168,0.05263157894736842,0.21711612393322324,0.2169060398996098,0.2173262079668367
A-0015,1,6.6,100,Religador,Zona Norte,Não,7.62,2019-09-11,0.125,0.13445378151260504,0.15997464074387152,0.05263157894736842,0.1301463064204193,0.1292009282691588,0.1310916845716798
A-0016,3,5.4,50,Transformador,Centro,Sim,16.16,2023-01-23,0.375,0.10924369747899161,0.3404480135249366,0.0,0.27398314355327935,0.30055877380538015,0.24740751330117844
A-0017,2,2.4,50,Seccionalizador,Zona Norte,Sim,8.46,2023-10-25,0.25,0.046218487394957986,0.17772612003381236,0.0,0.1625615334891353,0.1829396847496395,0.1421833822286311
A-0018,6,8.8,500,Religador,Zona Norte,Não,39.56,2023-05-29,0.75,0.18067226890756308,0.8349535080304312,0.47368421052631576,0.6339889272432736,0.6909217003525172,0.5770561541340299
A-0019,1,22.4,100,Isolador,Zona Oeste,Não,9.17,2009-01-22,0.125,0.4663865546218488,0.1927303465765004,0.05263157894736842,0.20635957279205672,0.17222091732987185,0.24049822825424158
A-0020,1,5.0,200,Cabo,Zona Sul,Não,9.37,2022-08-30,0.125,0.10084033613445378,0.19695688926458155,0.15789473684210525,0.14504460769047575,0.14746057407703037,0.1426286413039211
A-0021,2,3.0,200,Religador,Centro,Sim,13.2,2022-05-30,0.25,0.05882352941176471,0.27789518174133554,0.15789473684210525,0.21092273408896414,0.23004038114778766,0.1918050870301406
A-0022,2,1.6,200,Transformador,Zona Oeste,Sim,14.46,2024-12-12,0.25,0.02941176470588236,0.3045224006762468,0.15789473684210525,0.21302854682826106,0.2350873703576728,0.19096972329884926
A-0023,1,1.4,50,Seccionalizador,Zona Norte,Não,6.55,2024-01-09,0.125,0.025210084033613446,0.13736263736263737,0.0,0.0962508080155139,0.10622979961215255,0.08627181641887524
A-0024,3,7.5,500,Cabo,Zona Oeste,Não,19.44,2021-03-18,0.375,0.15336134453781514,0.40976331360946744,0.47368421052631576,0.35096968404303486,0.3731335495892533,0.32880581849681634
A-0025,4,8.9,50,Religador,Zona Oeste,Sim,16.35,2022-06-20,0.5,0.18277310924369752,0.3444632290786137,0.0,0.3398935905723236,0.37161627964795385,0.30817090149669335
A-0026,1,11.2,500,Seccionalizador,Centro,Não,7.16,2015-11-02,0.125,0.23109243697478996,0.15025359256128487,0.47368421052631576,0.18866298621597505,0.17805374251849604,0.199272229913454
A-0027,3,7.8,500,Seccionalizador,Zona Norte,Não,20.4,2023-06-26,0.375,0.1596638655462185,0.4300507185122569,0.47368421052631576,0.35831640971555234,0.3798500231609305,0.33678279627017416
A-0028,1,9.6,200,Seccionalizador,Zona Norte,Não,9.96,2024-02-16,0.125,0.19747899159663868,0.20942519019442096,0.15789473684210525,0.16811282906186453,0.16086492990220067,0.1753607282215284
A-0029,4,22.2,200,Transformador,Zona Sul,Não,25.21,2012-03-01,0.5,0.4621848739495799,0.5316990701606086,0.15789473684210525,0.46773616952230906,0.47151768212735107,0.46395465691726706
A-0030,4,19.3,200,Isolador,Zona Norte,Sim,23.38,2021-12-25,0.5,0.40126050420168075,0.49302620456466606,0.15789473684210525,0.44394943589394653,0.45382338547377843,0.4340754863141146
A-0031,2,18.6,200,Seccionalizador,Zona Oeste,Não,13.07,2015-08-02,0.25,0.38655462184873957,0.2751479289940828,0.15789473684210525,0.2756447767521833,0.26198931456730934,0.28930023893705725
A-0032,0,16.7,500,Cabo,Zona Sul,Não,1.33,2019-09-16,0.0,0.3466386554621849,0.02704987320371936,0.47368421052631576,0.12481111410618438,0.09014724855996588,0.15947497965240284
A-0033,0,13.3,500,Religador,Centro,Sim,3.52,2014-01-10,0.0,0.2752100840336135,0.07333051563820794,0.47368421052631576,0.12440959255081667,0.09688858414745533,0.151930600954178
A-0034,2,1.8,200,Cabo,Centro,Não,14.62,2024-02-10,0.25,0.033613445378151266,0.30790363482671174,0.15789473684210525,0.2148832532078543,0.23652190867003917,0.19324459774566943
A-0035,2,7.0,200,Transformador,Zona Sul,Sim,11.8,2019-01-15,0.25,0.14285714285714288,0.24830938292476754,0.15789473684210525,0.21885371713306936,0.22956800284735507,0.20813943141878366
A-0036,2,10.3,1000,Transformador,Centro,Não,14.03,2022-05-04,0.25,0.21218487394957988,0.2954353338968723,1.0,0.3310675749589777,0.3348490875640197,0.32728606235393565
A-0037,1,3.9,1000,Cabo,Zona Sul,Sim,10.03,2024-05-15,0.125,0.07773109243697479,0.21090448013524934,1.0,0.22881756252796975,0.23354445328427229,0.22409067177166725
A-0038,5,24.8,200,Isolador,Zona Norte,Não,29.33,2011-04-29,0.625,0.5168067226890757,0.6187658495350803,0.15789473684210525,0.5547805730825498,0.5655999008136422,0.5439612453514573
A-0039,4,6.4,200,Transformador,Zona Norte,Sim,23.22,2022-05-26,0.5,0.13025210084033614,0.48964497041420113,0.15789473684210525,0.3887333849765381,0.42570817489250445,0.3517585950605717
A-0040,0,1.6,100,Transformador,Centro,Não,3.22,2024-10-14,0.0,0.02941176470588236,0.06699070160608622,0.05263157894736842,0.03124272131773918,0.028301544847150945,0.034183897788327415
A-0041,1,6.1,1000,Cabo,Zona Sul,Não,9.66,2021-06-14,0.125,0.12394957983193278,0.2030853761622992,1.0,0.23571552881507632,0.23582057083188304,0.2356104867982696
A-0042,2,11.4,100,Transformador,Centro,Não,10.48,2016-03-12,0.25,0.23529411764705888,0.22041420118343194,0.05263157894736842,0.2184462417791782,0.21991683001447232,0.21697565354388407
A-0043,2,3.9,200,Isolador,Zona Sul,Não,12.6,2024-09-20,0.25,0.07773109243697479,0.2652155536770921,0.15789473684210525,0.2109003582747331,0.22812724903103562,0.1936734675184306
A-0044,0,7.5,100,Isolador,Zona Norte,Não,2.14,2024-08-11,0.0,0.15336134453781514,0.04416737109044802,0.05263157894736842,0.04918563812943427,0.03384950367565276,0.06452177258321579
A-0045,2,1.7,100,Isolador,Zona Sul,Não,13.63,2024-04-19,0.25,0.03151260504201681,0.2869822485207101,0.05263157894736842,0.19766035345935323,0.21950909295515153,0.1758116139635549
A-0046,2,5.8,200,Religador,Zona Norte,Sim,15.41,2020-06-20,0.25,0.11764705882352942,0.3245984784446323,0.15789473684210525,0.2366984289823061,0.24993372309995315,0.22346313486465905
A-0047,3,8.4,1000,Isolador,Centro,Sim,25.19,2018-12-02,0.375,0.17226890756302526,0.5312764158918005,1.0,0.4438367062801452,0.4641098155238427,0.42356359703644775
A-0048,1,7.8,50,Isolador,Zona Sul,Sim,7.53,2019-03-09,0.125,0.1596638655462185,0.158072696534235,0.0,0.1293545820695142,0.12588819551489236,0.13282096862413606
A-0049,0,14.7,200,Religador,Centro,Sim,2.92,2016-08-15,0.0,0.3046218487394958,0.0606508875739645,0.15789473684210525,0.09490910970429904,0.06444692483034946,0.12537129457824864
A-0050,2,3.5,50,Seccionalizador,Zona Norte,Não,11.31,2022-08-08,0.25,0.06932773109243698,0.23795435333896872,0.0,0.185251852220178,0.2033190791109343,0.16718462532942172
A-0051,2,10.9,100,Transformador,Centro,Sim,13.93,2023-01-24,0.25,0.22478991596638662,0.2933220625528318,0.05263157894736842,0.2382177598538637,0.24073876825722504,0.23569675145050234
A-0052,1,12.6,200,Isolador,Zona Sul,Não,6.55,2023-09-13,0.125,0.2605042016806723,0.13736263736263737,0.15789473684210525,0.1590991052291362,0.14554868506106897,0.1726495253972034
A-0053,3,4.6,200,Transformador,Zona Oeste,Não,18.59,2022-09-28,0.375,0.09243697478991597,0.39180050718512255,0.15789473684210525,0.3018170207977305,0.3300733233187389,0.27356071827672207
A-0054,2,3.9,100,Cabo,Zona Norte,Não,12.68,2024-05-31,0.25,0.07773109243697479,0.2669061707523246,0.05263157894736842,0.20088122760782917,0.2181081183641317,0.18365433685152666
A-0055,3,24.9,200,Transformador,Zona Norte,Não,19.31,2021-11-27,0.375,0.5189075630252101,0.40701606086221465,0.15789473684210525,0.39167580454791695,0.37728504824539594,0.4060665608504379
A-0056,2,6.5,50,Religador,Zona Sul,Não,9.13,2021-09-22,0.25,0.1323529411764706,0.19188503803888418,0.0,0.18403609964695938,0.1958008055293123,0.17227139376460643
A-0057,0,11.3,200,Transformador,Centro,Sim,2.93,2015-12-22,0.0,0.23319327731092443,0.06086221470836856,0.15789473684210525,0.08068679355890598,0.05736746582781354,0.10400612128999842
A-0058,2,11.6,1000,Transformador,Zona Oeste,Sim,17.8,2015-04-26,0.25,0.23949579831932777,0.37510566356720204,1.0,0.3604308587340262,0.3614812789020934,0.3593804385659589
A-0059,1,2.2,1000,Transformador,Centro,Não,9.28,2024-02-08,0.125,0.04201680672268908,0.19505494505494503,1.0,0.21691984486102134,0.22521816418875243,0.20862152553329022
A-0060,1,9.7,200,Seccionalizador,Zona Oeste,Não,9.27,2021-04-21,0.125,0.19957983193277312,0.19484361792054097,0.15789473684210525,0.16415852544692744,0.15670054225365013,0.17161650864020475
A-0061,3,9.4,200,Seccionalizador,Zona Sul,Não,17.71,2024-07-22,0.375,0.19327731092436978,0.3732037193575655,0.15789473684210525,0.31640605167635416,0.3345783205839172,0.2982337827687911
A-0062,1,25.0,1000,Cabo,Zona Sul,Não,11.6,2017-12-11,0.125,0.5210084033613446,0.24408284023668636,1.0,0.3274265327432748,0.2878256924071404,0.36702737307940925
A-0063,4,9.4,50,Religador,Zona Sul,Não,18.4,2020-10-05,0.5,0.19327731092436978,0.38778529163144543,0.0,0.3549910496743076,0.3856633185818706,0.32431878076674453
A-0064,2,14.3,500,Transformador,Zona Norte,Não,15.41,2023-07-07,0.25,0.29621848739495804,0.3245984784446323,0.47368421052631576,0.3039916620650129,0.2993698133255171,0.30861351080450866
A-0065,0,14.7,1000,Transformador,Zona Norte,Sim,0.16,2016-10-01,0.0,0.3046218487394958,0.002324598478444632,1.0,0.16162174929143255,0.13115956441748297,0.19208393416538214
A-0066,4,6.7,50,Transformador,Centro,Não,16.58,2024-05-28,0.5,0.1365546218487395,0.34932375316990694,0.0,0.33210805032072,0.368452588135846,0.2957635125055939
A-0067,5,31.2,100,Transformador,Zona Sul,Não,26.24,2007-03-24,0.625,0.6512605042016808,0.5534657650042265,0.05263157894736842,0.551554988236341,0.5489289378161729,0.554181038656509
A-0068,2,4.4,1000,Seccionalizador,Zona Sul,Sim,15.92,2024-05-21,0.25,0.08823529411764708,0.3353761622992392,1.0,0.3182599075133012,0.3344363781015365,0.3020834369250659
A-0069,0,1.7,200,Cabo,Zona Oeste,Sim,2.54,2024-01-05,0.0,0.03151260504201681,0.052620456466610316,0.15789473684210525,0.037878131632596984,0.0347268711283953,0.04102939213679867
A-0070,0,5.6,50,Isolador,Zona Norte,Não,0.31,2024-08-25,0.0,0.1134453781512605,0.005494505494505495,0.0,0.024337427278603753,0.0129928894634777,0.0356819650937298
A-0071,1,1.3,100,Religador,Centro,Sim,8.79,2024-05-17,0.125,0.023109243697478996,0.18469991546914621,0.05263157894736842,0.1152949812749765,0.1254840569052286,0.1051059056447244
A-0072,1,4.6,200,Transformador,Zona Norte,Sim,9.23,2023-02-02,0.125,0.09243697478991597,0.19399830938292476,0.15789473684210525,0.14247636145707115,0.14573266397807955,0.13922005893606273
A-0073,2,8.4,200,Cabo,Zona Sul,Não,11.53,2023-03-04,0.25,0.17226890756302526,0.24260355029585795,0.15789473684210525,0.22302432028557295,0.23079742952927043,0.2152512110418755
A-0074,2,10.1,500,Isolador,Centro,Sim,15.6,2021-01-13,0.25,0.20798319327731096,0.32861369399830936,0.47368421052631576,0.28754916790758656,0.2917508485798555,0.28334748723531766
A-0075,5,6.1,1000,Cabo,Centro,Não,38.64,2024-04-27,0.625,0.12394957983193278,0.8155114116652579,1.0,0.619443339465964,0.6695483814827706,0.5693382974491572
A-0076,1,4.6,100,Seccionalizador,Zona Oeste,Sim,7.82,2023-03-29,0.125,0.09243697478991597,0.16420118343195267,0.05263157894736842,0.12301090788230584,0.12626721040331423,0.11975460536129744
A-0077,2,5.5,200,Isolador,Zona Norte,Não,12.16,2024-03-12,0.25,0.11134453781512606,0.2559171597633136,0.15789473684210525,0.21483352917622983,0.2286990753947172,0.20096798295774243
A-0078,4,12.4,200,Cabo,Zona Norte,Não,24.49,2015-05-11,0.5,0.2563025210084034,0.5164835164835164,0.15789473684210525,0.42199503283094614,0.44636478073010577,0.39762528493178645
A-0079,1,3.3,200,Seccionalizador,Zona Norte,Não,6.36,2022-07-04,0.125,0.06512605042016807,0.13334742180896028,0.15789473684210525,0.11881891031093222,0.12480630526891542,0.11283151535294902
A-0080,2,4.6,100,Cabo,Zona Sul,Sim,10.82,2023-08-19,0.25,0.09243697478991597,0.2275993237531699,0.05263157894736842,0.19203034997867102,0.20778665249967943,0.17627404745766262
A-0081,1,10.6,1000,Cabo,Centro,Não,8.11,2021-01-21,0.125,0.21848739495798322,0.1703296703296703,1.0,0.24479638009049776,0.23544764059469941,0.25414511958629604
A-0082,4,9.0,500,Isolador,Zona Sul,Não,27.65,2017-05-17,0.5,0.18487394957983197,0.5832628909551986,0.47368421052631576,0.45932207825515753,0.49083468329717433,0.4278094732131407
A-0083,5,1.6,200,Seccionalizador,Centro,Não,27.06,2024-08-28,0.625,0.02941176470588236,0.5707945900253593,0.15789473684210525,0.44291020363299477,0.5024690271624065,0.383351380103583
A-0084,2,17.1,200,Transformador,Zona Oeste,Não,15.27,2011-07-26,0.25,0.35504201680672276,0.3216398985629755,0.15789473684210525,0.2832898466144477,0.27278564493377544,0.29379404829512
A-0085,1,5.7,100,Religador,Zona Norte,Não,6.28,2022-10-21,0.125,0.11554621848739498,0.13165680473372782,0.05263157894736842,0.1178694430123342,0.11881482116359468,0.11692406486107368
A-0086,3,2.9,200,Isolador,Zona Norte,Não,17.0,2024-12-14,0.375,0.05672268907563025,0.3581994928148774,0.15789473684210525,0.2845938593437998,0.31642159043623674,0.2527661282513628
A-0087,2,2.3,200,Seccionalizador,Zona Sul,Sim,13.09,2024-10-25,0.25,0.044117647058823525,0.2755705832628909,0.15789473684210525,0.2072841780748425,0.22787241336896014,0.18669594278072485
A-0088,5,17.3,200,Cabo,Zona Sul,Sim,27.9,2016-11-28,0.625,0.35924369747899165,0.5885460693153001,0.15789473684210525,0.5142020339745988,0.5407776642266997,0.48762640372249805
A-0089,5,0.7,1000,Seccionalizador,Centro,Não,37.22,2024-12-19,0.625,0.01050420168067227,0.7855029585798817,1.0,0.587751727910099,0.6492013077420318,0.5263021480781662
A-0090,5,11.3,200,Religador,Zona Sul,Sim,28.26,2018-04-12,0.625,0.23319327731092443,0.5961538461538461,0.15789473684210525,0.49127428299254927,0.5304549552614568,0.4520936107236417
A-0091,1,15.1,200,Religador,Centro,Não,5.96,2015-05-11,0.125,0.31302521008403367,0.12489433643279797,0.15789473684210525,0.16586281663085667,0.1470602956224533,0.18466533763926002
A-0092,0,6.1,500,Transformador,Zona Oeste,Não,1.33,2020-02-13,0.0,0.12394957983193278,0.02704987320371936,0.47368421052631576,0.08027329898013394,0.06787834099694066,0.09266825696332721
A-0093,1,23.4,100,Transformador,Zona Oeste,Não,6.81,2014-12-09,0.125,0.4873949579831933,0.14285714285714285,0.05263157894736842,0.19559929234851836,0.15935979655019902,0.23183878814683767
A-0094,2,3.4,200,Religador,Zona Norte,Sim,10.76,2022-03-05,0.25,0.06722689075630252,0.22633136094674555,0.15789473684210525,0.1971342601194947,0.21541157104386444,0.17885694919512493
A-0095,1,12.3,200,Isolador,Zona Oeste,Sim,9.16,2015-11-20,0.125,0.25420168067226895,0.19251901944209635,0.15789473684210525,0.17438551565129323,0.16146534758406633,0.1873056837185201
A-0096,0,9.1,200,Isolador,Zona Norte,Não,3.11,2019-09-24,0.0,0.18697478991596642,0.0646661031276416,0.15789473684210525,0.07258426260569628,0.05388678361409965,0.09128174159729294
A-0097,2,25.4,500,Cabo,Centro,Não,15.44,2005-08-03,0.25,0.5294117647058824,0.32523245984784444,0.47368421052631576,0.3508205119481614,0.32287933547757314,0.3787616884187496
A-0098,2,6.6,200,Transformador,Zona Oeste,Não,13.34,2021-06-24,0.25,0.13445378151260504,0.28085376162299236,0.15789473684210525,0.22693635847362925,0.23849098032236873,0.21538173662488974
A-0099,1,11.4,500,Cabo,Zona Sul,Sim,9.17,2018-10-01,0.125,0.23529411764705888,0.1927303465765004,0.47368421052631576,0.2022463485549935,0.1912169367902876,0.21327576031969936
A-0100,0,9.0,200,Transformador,Zona Norte,Sim,4.67,2016-10-09,0.0,0.18487394957983197,0.09763313609467456,0.15789473684210525,0.08205420442857929,0.06356680947059609,0.10054159938656249
A-0101,3,1.9,200,Religador,Zona Norte,Sim,15.95,2024-03-01,0.375,0.03571428571428572,0.33601014370245136,0.15789473684210525,0.2737353739378031,0.3076639453663745,0.23980680250923164
A-0102,3,7.4,500,Isolador,Zona Norte,Não,18.89,2021-12-18,0.375,0.1512605042016807,0.3981403212172443,0.47368421052631576,0.347062618258141,0.3694365678379729,0.32468866867830903
A-0103,1,5.1,100,Isolador,Zona Oeste,Sim,5.57,2021-12-20,0.125,0.10294117647058823,0.11665257819103973,0.05263157894736842,0.11084716664616641,0.11305304899910758,0.10864128429322523
A-0104,0,9.1,100,Religador,Centro,Sim,0.84,2023-05-09,0.0,0.18697478991596642,0.01669484361792054,0.05263157894736842,0.04766656896330629,0.028969089971709647,0.06636404795490293
A-0105,0,11.5,200,Cabo,Zona Norte,Sim,0.91,2015-11-28,0.0,0.23739495798319332,0.01817413355874894,0.15789473684210525,0.06872070534847388,0.04498120955015454,0.09246020114679321
A-0106,4,20.3,100,Cabo,Zona Norte,Sim,21.82,2024-10-12,0.5,0.42226890756302526,0.4600591715976331,0.05263157894736842,0.42773469088663185,0.4355078001303293,0.41996158164293435
A-0107,1,0.5,50,Seccionalizador,Zona Norte,Não,6.23,2024-12-19,0.125,0.0063025210084033615,0.13060016906170754,0.0,0.09044055492019294,0.1023103028193526,0.07857080702103326
A-0108,3,8.3,200,Transformador,Zona Norte,Não,20.87,2018-03-21,0.375,0.17016806722689082,0.43998309382924766,0.15789473684210525,0.33181801527836297,0.3523012085556739,0.31133482200105206
A-0109,4,2.5,200,Cabo,Centro,Sim,22.35,2023-05-19,0.5,0.04831932773109244,0.4712595097210482,0.15789473684210525,0.3668311921467435,0.4119992593736342,0.3216631249198527
A-0110,1,12.4,200,Religador,Centro,Sim,6.86,2015-05-18,0.125,0.2563025210084034,0.14391377852916315,0.15789473684210525,0.16022411144464016,0.14709385934379982,0.17335436354548048
A-0111,1,32.4,1000,Cabo,Centro,Sim,11.83,1996-11-15,0.125,0.6764705882352942,0.2489433643279797,1.0,0.35997712694545275,0.3048300681219233,0.41512418576898213
A-0112,0,6.3,200,Isolador,Zona Oeste,Sim,4.16,2023-05-24,0.0,0.1281512605042017,0.08685545224006763,0.15789473684210525,0.06747636145707116,0.054661235406650986,0.08029148750749132
A-0113,0,4.2,500,Transformador,Centro,Sim,2.35,2024-06-22,0.0,0.08403361344537816,0.04860524091293322,0.47368421052631576,0.07875671601558717,0.07035335467104936,0.08716007736012499
A-0114,0,5.6,100,Seccionalizador,Zona Sul,Não,2.77,2021-06-03,0.0,0.1134453781512605,0.05748098055790364,0.05263157894736842,0.04519652769236004,0.033851989877233986,0.05654106550748608
A-0115,3,2.5,200,Transformador,Zona Sul,Sim,20.13,2024-06-14,0.375,0.04831932773109244,0.4243448858833474,0.15789473684210525,0.3027568049954332,0.335424872222324,0.2700887377685425
A-0116,2,0.2,500,Isolador,Zona Oeste,Sim,14.84,2024-12-19,0.25,0.0,0.312552831783601,0.47368421052631576,0.2411342705877119,0.2661342705877119,0.21613427058771187
A-0117,2,10.1,200,Isolador,Zona Oeste,Sim,11.64,2019-08-25,0.25,0.20798319327731096,0.2449281487743026,0.15789473684210525,0.2308645569719635,0.2350662376442324,0.2266628762996946
A-0118,1,8.0,500,Isolador,Centro,Não,10.36,2022-08-17,0.125,0.16386554621848742,0.21787827557058323,0.47368421052631576,0.19550501296750403,0.19161845834565527,0.19939156758935278
A-0119,2,4.3,200,Isolador,Centro,Não,13.3,2021-10-27,0.25,0.0861344537815126,0.28000845308537614,0.15789473684210525,0.2170189003661259,0.23340545498797463,0.20063234574427713
A-0120,2,3.1,50,Religador,Zona Norte,Não,8.63,2024-02-24,0.25,0.060924369747899165,0.1813186813186813,0.0,0.16658047834518422,0.18548804137039432,0.14767291531997415
A-0121,0,15.0,200,Seccionalizador,Centro,Não,2.53,2022-10-20,0.0,0.3109243697478992,0.052409129332206254,0.15789473684210525,0.09369708643345225,0.06260464945866233,0.12478952340824216
A-0122,1,19.2,200,Isolador,Zona Sul,Não,7.37,2006-03-19,0.125,0.39915966386554624,0.15469146238377007,0.15789473684210525,0.1920288451724508,0.16461287878589617,0.21944481155900541
A-0123,3,9.2,500,Isolador,Zona Sul,Sim,23.03,2024-10-06,0.375,0.18907563025210086,0.4856297548605241,0.47368421052631576,0.380872473561209,0.3994649105359989,0.36228003658641905
A-0124,4,0.8,100,Cabo,Zona Oeste,Não,19.09,2024-12-19,0.5,0.012605042016806726,0.40236686390532544,0.05263157894736842,0.3284942254696958,0.37723372126801513,0.2797547296713765
A-0125,3,7.2,1000,Seccionalizador,Centro,Sim,25.1,2021-07-04,0.375,0.14705882352941177,0.529374471682164,1.0,0.4382241062105316,0.4610182238575904,0.41542998856347274
A-0126,0,10.7,1000,Transformador,Zona Oeste,Não,2.56,2015-08-25,0.0,0.22058823529411767,0.05304311073541843,1.0,0.16003058027944908,0.1379717567500373,0.18208940380886082
A-0127,0,6.6,100,Seccionalizador,Centro,Não,2.02,2024-11-14,0.0,0.13445378151260504,0.041631445477599324,0.05263157894736842,0.044643347840537646,0.031197969689277145,0.058088725991798144
A-0128,0,7.2,200,Seccionalizador,Zona Norte,Não,0.81,2022-10-09,0.0,0.14705882352941177,0.016060862214708368,0.15789473684210525,0.050019497054505396,0.03531361470156422,0.06472537940744658
A-0129,1,4.6,500,Seccionalizador,Zona Norte,Não,9.72,2024-02-07,0.125,0.09243697478991597,0.20435333896872357,0.47368421052631576,0.17716181770123185,0.18041812022224024,0.17390551518022343
A-0130,2,6.7,1000,Isolador,Zona Sul,Não,18.45,2023-06-25,0.25,0.1365546218487395,0.38884192730346573,1.0,0.3439635025607876,0.3553080403759137,0.33261896474566155
A-0131,2,16.0,200,Isolador,Zona Norte,Não,12.48,2015-02-06,0.25,0.33193277310924374,0.26267962806424344,0.15789473684210525,0.26097991672533233,0.25278663941440793,0.26917319403625667
A-0132,5,9.6,200,Religador,Zona Oeste,Não,27.72,2023-02-21,0.625,0.19747899159663868,0.584742180896027,0.15789473684210525,0.4807079262723464,0.5234600271126825,0.4379558254320102
A-0133,1,5.2,200,Transformador,Zona Oeste,Não,8.08,2023-10-22,0.125,0.1050420168067227,0.16969568892645814,0.15789473684210525,0.1377065837234925,0.13970238204282023,0.13571078540416479
A-0134,3,6.6,200,Cabo,Zona Oeste,Não,19.89,2024-09-26,0.375,0.13445378151260504,0.41927303465765003,0.15789473684210525,0.31846214038402654,0.34251676223276606,0.294407518535287
A-0135,4,20.4,100,Seccionalizador,Centro,Não,18.48,2020-12-21,0.5,0.4243697478991597,0.3894759087066779,0.05263157894736842,0.40697988008657215,0.4145429052966562,0.39941685487648815
A-0136,2,3.1,500,Transformador,Zona Oeste,Não,15.59,2024-11-20,0.25,0.060924369747899165,0.3284023668639053,0.47368421052631576,0.258074005061383,0.2769815680865931,0.2391664420361729
A-0137,3,4.6,50,Transformador,Zona Sul,Sim,14.78,2024-07-15,0.375,0.09243697478991597,0.31128486897717667,0.0,0.2618728556511362,0.2901291581721446,0.23361655313012777
A-0138,2,7.2,50,Religador,Centro,Sim,9.45,2023-07-12,0.25,0.14705882352941177,0.198647506339814,0.0,0.18900601660782657,0.19930013425488538,0.17871189896076772
A-0139,1,4.9,200,Cabo,Centro,Não,7.56,2021-02-21,0.125,0.09873949579831934,0.15870667793744717,0.15789473684210525,0.13314937622510856,0.13577542664527661,0.13052332580494047
A-0140,4,19.7,200,Seccionalizador,Centro,Não,22.45,2012-10-18,0.5,0.40966386554621853,0.47337278106508873,0.15789473684210525,0.43973408111298085,0.44876769455835896,0.43070046766760267
A-0141,1,16.3,200,Cabo,Centro,Não,9.25,2018-10-08,0.125,0.33823529411764713,0.19442096365173286,0.15789473684210525,0.19176282160325983,0.17043929219149512,0.21308635101502452
A-0142,3,7.1,200,Religador,Zona Norte,Não,19.08,2019-02-24,0.375,0.14495798319327732,0.4021555367709213,0.15789473684210525,0.3154277313541424,0.33843193303481467,0.2924235296734701
