ID_Ativo,Frequencia_Falhas,Tempo_Operacao,Numero_Clientes_Afetados,Tipo_Ativo,Localidade,Historico_Manutencao,Impacto_DEC_FEC,Data_Evento
A-0078,4,12.4,200,Cabo,Zona Norte,Não,24.49,2015-05-11
A-0079,1,3.3,200,Seccionalizador,Zona Norte,Não,6.36,2022-07-04
A-0080,2,4.6,100,Cabo,Zona Sul,Sim,10.82,2023-08-19
A-0081,1,10.6,1000,Cabo,Centro,Não,8.11,2021-01-21
A-0082,4,9.0,500,Isolador,Zona Sul,Não,27.65,2017-05-17
A-0083,5,1.6,200,Seccionalizador,Centro,Não,27.06,2024-08-28
A-0084,2,17.1,200,Transformador,Zona Oeste,Não,15.27,2011-07-26
A-0085,1,5.7,100,Religador,Zona Norte,Não,6.28,2022-10-21
A-0086,3,2.9,200,Isolador,Zona Norte,Não,17.0,2024-12-14
A-0087,2,2.3,200,Seccionalizador,Zona Sul,Sim,13.09,2024-10-25
A-0088,5,17.3,200,Cabo,Zona Sul,Sim,27.9,2016-11-28
A-0089,5,0.7,1000,Seccionalizador,Centro,Não,37.22,2024-12-19
A-0090,5,11.3,200,Religador,Zona Sul,Sim,28.26,2018-04-12
A-0091,1,15.1,200,Religador,Centro,Não,5.96,2015-05-11
A-0092,0,6.1,500,Transformador,Zona Oeste,Não,1.33,2020-02-13
A-0093,1,23.4,100,Transformador,Zona Oeste,Não,6.81,2014-12-09
A-0094,2,3.4,200,Religador,Zona Norte,Sim,10.76,2022-03-05
A-0095,1,12.3,200,Isolador,Zona Oeste,Sim,9.16,2015-11-20
A-0096,0,9.1,200,Isolador,Zona Norte,Não,3.11,2019-09-24
A-0097,2,25.4,500,Cabo,Centro,Não,15.44,2005-08-03
A-0098,2,6.6,200,Transformador,Zona Oeste,Não,13.34,2021-06-24
A-0099,1,11.4,500,Cabo,Zona Sul,Sim,9.17,2018-10-01
A-0100,0,9.0,200,Transformador,Zona Norte,Sim,4.67,2016-10-09
A-0101,3,1.9,200,Religador,Zona Norte,Sim,15.95,2024-03-01
A-0102,3,7.4,500,Isolador,Zona Norte,Não,18.89,2021-12-18
A-0103,1,5.1,100,Isolador,Zona Oeste,Sim,5.57,2021-12-20
A-0104,0,9.1,100,Religador,Centro,Sim,0.84,2023-05-09
A-0105,0,11.5,200,Cabo,Zona Norte,Sim,0.91,2015-11-28
A-0106,4,20.3,100,Cabo,Zona Norte,Sim,21.82,2024-10-12
A-0107,1,0.5,50,Seccionalizador,Zona Norte,Não,6.23,2024-12-19
A-0108,3,8.3,200,Transformador,Zona Norte,Não,20.87,2018-03-21
A-0109,4,2.5,200,Cabo,Centro,Sim,22.35,2023-05-19
A-0110,1,12.4,200,Religador,Centro,Sim,6.86,2015-05-18
A-0111,1,32.4,1000,Cabo,Centro,Sim,11.83,1996-11-15
A-0112,0,6.3,200,Isolador,Zona Oeste,Sim,4.16,2023-05-24
A-0113,0,4.2,500,Transformador,Centro,Sim,2.35,2024-06-22
A-0114,0,5.6,100,Seccionalizador,Zona Sul,Não,2.77,2021-06-03
A-0115,3,2.5,200,Transformador,Zona Sul,Sim,20.13,2024-06-14
A-0116,2,0.2,500,Isolador,Zona Oeste,Sim,14.84,2024-12-19
A-0117,2,10.1,200,Isolador,Zona Oeste,Sim,11.64,2019-08-25
A-0118,1,8.0,500,Isolador,Centro,Não,10.36,2022-08-17
A-0119,2,4.3,200,Isolador,Centro,Não,13.3,2021-10-27
A-0120,2,3.1,50,Religador,Zona Norte,Não,8.63,2024-02-24
A-0121,0,15.0,200,Seccionalizador,Centro,Não,2.53,2022-10-20
A-0122,1,19.2,200,Isolador,Zona Sul,Não,7.37,2006-03-19
A-0123,3,9.2,500,Isolador,Zona Sul,Sim,23.03,2024-10-06
A-0124,4,0.8,100,Cabo,Zona Oeste,Não,19.09,2024-12-19
A-0125,3,7.2,1000,Seccionalizador,Centro,Sim,25.1,2021-07-04
A-0126,0,10.7,1000,Transformador,Zona Oeste,Não,2.56,2015-08-25
A-0127,0,6.6,100,Seccionalizador,Centro,Não,2.02,2024-11-14
A-0128,0,7.2,200,Seccionalizador,Zona Norte,Não,0.81,2022-10-09
A-0129,1,4.6,500,Seccionalizador,Zona Norte,Não,9.72,2024-02-07
A-0130,2,6.7,1000,Isolador,Zona Sul,Não,18.45,2023-06-25
A-0131,2,16.0,200,Isolador,Zona Norte,Não,12.48,2015-02-06
A-0132,5,9.6,200,Religador,Zona Oeste,Não,27.72,2023-02-21
A-0133,1,5.2,200,Transformador,Zona Oeste,Não,8.08,2023-10-22
A-0134,3,6.6,200,Cabo,Zona Oeste,Não,19.89,2024-09-26
A-0135,4,20.4,100,Seccionalizador,Centro,Não,18.48,2020-12-21
A-0136,2,3.1,500,Transformador,Zona Oeste,Não,15.59,2024-11-20
A-0137,3,4.6,50,Transformador,Zona Sul,Sim,14.78,2024-07-15
A-0138,2,7.2,50,Religador,Centro,Sim,9.45,2023-07-12
A-0139,1,4.9,200,Cabo,Centro,Não,7.56,2021-02-21
A-0140,4,19.7,200,Seccionalizador,Centro,Não,22.45,2012-10-18
A-0141,1,16.3,200,Cabo,Centro,Não,9.25,2018-10-08
A-0142,3,7.1,200,Religador,Zona Norte,Não,19.08,2019-02-24
A-0143,1,30.7,200,Isolador,Zona Oeste,Não,7.97,2022-02-18
A-0144,1,10.2,100,Transformador,Zona Norte,Sim,6.58,2016-04-13
A-0145,3,22.4,200,Seccionalizador,Zona Norte,Sim,17.37,2011-12-09
A-0146,0,21.0,1000,Isolador,Zona Oeste,Sim,4.11,2020-03-03
A-0147,1,11.3,200,Religador,Centro,Sim,7.56,2017-02-07
A-0148,1,2.9,200,Cabo,Zona Oeste,Não,7.81,2024-05-11
A-0149,0,8.7,200,Transformador,Zona Norte,Não,2.6,2023-02-16
A-0150,1,4.5,1000,Seccionalizador,Zona Norte,Não,9.15,2021-11-20
A-0151,2,12.2,100,Isolador,Zona Norte,Não,10.51,2014-04-12
A-0152,0,10.8,200,Isolador,Zona Norte,Sim,0.6,2015-11-15
A-0153,3,9.8,500,Transformador,Centro,Sim,19.14,2021-03-03
A-0154,4,14.5,200,Cabo,Zona Sul,Não,25.0,2019-05-19
A-0155,4,10.5,50,Religador,Centro,Sim,16.84,2023-10-17
A-0156,1,7.8,200,Cabo,Zona Oeste,Sim,5.58,2019-10-14
A-0157,1,2.7,50,Cabo,Zona Norte,Não,7.92,2023-06-09
A-0158,0,4.9,200,Cabo,Centro,Sim,0.77,2023-02-04
A-0159,0,3.4,500,Transformador,Zona Sul,Não,3.13,2024-10-29
A-0160,4,15.1,100,Transformador,Centro,Sim,20.15,2016-01-25
A-0161,2,7.4,500,Religador,Zona Sul,Sim,13.07,2020-12-13
A-0162,1,9.9,50,Cabo,Zona Oeste,Sim,6.0,2020-03-01
A-0163,1,5.6,500,Transformador,Zona Sul,Sim,6.29,2022-06-27
A-0164,3,17.7,200,Religador,Centro,Não,20.12,2019-11-14
A-0165,4,12.8,100,Religador,Zona Norte,Não,21.03,2018-07-31
A-0166,4,9.0,100,Cabo,Zona Sul,Não,19.16,2022-08-08
A-0167,3,8.0,1000,Seccionalizador,Zona Oeste,Não,21.91,2018-01-15
A-0168,2,4.1,50,Cabo,Centro,Sim,10.1,2022-12-02
A-0169,2,5.0,100,Seccionalizador,Zona Norte,Não,10.17,2023-07-16
A-0170,0,1.9,200,Religador,Zona Norte,Sim,1.34,2024-02-08
A-0171,4,13.0,200,Transformador,Centro,Sim,23.89,2014-09-20
A-0172,2,13.8,200,Isolador,Zona Norte,Não,14.77,2017-05-17
A-0173,5,14.3,100,Religador,Zona Norte,Não,25.08,2020-04-27
A-0174,2,3.6,100,Transformador,Zona Oeste,Não,12.82,2024-07-07
A-0175,0,21.4,100,Religador,Zona Oeste,Sim,4.38,2004-04-02
A-0176,3,6.4,100,Cabo,Zona Sul,Sim,14.93,2020-03-03
A-0177,5,11.9,200,Seccionalizador,Zona Norte,Não,30.55,2024-11-12
A-0178,1,2.6,500,Religador,Centro,Sim,10.0,2024-01-07
A-0179,0,18.3,100,Transformador,Zona Oeste,Sim,1.78,2007-03-06
A-0180,8,13.5,200,Cabo,Zona Oeste,Sim,47.37,2024-05-04
A-0181,1,6.6,200,Isolador,Zona Oeste,Sim,6.62,2020-10-31
A-0182,2,5.7,1000,Cabo,Zona Sul,Sim,15.09,2024-05-27
A-0183,3,13.2,1000,Seccionalizador,Zona Norte,Não,24.59,2014-12-10
A-0184,4,18.3,500,Cabo,Zona Oeste,Não,27.04,2022-06-01
A-0185,3,4.1,100,Isolador,Zona Norte,Não,15.5,2024-05-15
A-0186,0,7.7,50,Transformador,Zona Norte,Sim,0.89,2018-08-21
A-0187,0,5.5,200,Religador,Zona Sul,Sim,3.83,2021-07-01
A-0188,3,18.9,100,Seccionalizador,Centro,Não,17.78,2024-10-20
A-0189,1,5.0,200,Isolador,Centro,Não,8.14,2021-07-23
A-0190,2,2.7,500,Seccionalizador,Zona Norte,Não,17.22,2024-01-07
A-0191,3,13.6,500,Cabo,Zona Norte,Não,20.24,2019-10-13
A-0192,5,20.3,500,Seccionalizador,Zona Oeste,Sim,32.18,2012-11-25
A-0193,2,13.1,200,Isolador,Centro,Não,13.99,2019-04-20
A-0194,3,17.3,200,Religador,Centro,Não,19.7,2015-09-27
A-0195,2,29.4,200,Religador,Centro,Sim,11.73,2020-08-10
A-0196,0,25.6,50,Seccionalizador,Centro,Não,0.38,2020-01-27
A-0197,0,25.8,500,Transformador,Centro,Não,4.05,2013-08-15
A-0198,1,5.5,50,Seccionalizador,Zona Sul,Sim,8.81,2024-07-29
A-0199,1,13.8,200,Cabo,Zona Norte,Sim,8.53,2022-02-27
A-0200,3,9.4,200,Religador,Zona Sul,Sim,17.3,2023-06-07
A-0201,1,9.3,200,Religador,Zona Oeste,Não,10.29,2016-05-23
A-0202,0,17.8,500,Religador,Zona Sul,Sim,4.47,2022-11-01
A-0203,1,12.4,200,Transformador,Centro,Sim,7.87,2022-12-21
A-0204,1,7.9,500,Transformador,Centro,Sim,10.34,2023-09-29
A-0205,0,4.8,100,Isolador,Zona Oeste,Não,4.08,2021-12-17
A-0206,1,12.5,200,Seccionalizador,Zona Norte,Não,9.98,2020-09-03
A-0207,2,7.3,500,Seccionalizador,Zona Oeste,Não,16.64,2019-06-06
A-0208,0,17.8,200,Cabo,Zona Oeste,Sim,3.22,2013-11-18
A-0209,2,17.4,1000,Religador,Zona Oeste,Não,16.86,2022-11-14
A-0210,2,11.2,100,Transformador,Zona Oeste,Não,11.57,2019-06-24
A-0211,3,3.3,200,Cabo,Zona Norte,Não,19.04,2024-04-09
A-0212,1,6.0,200,Cabo,Zona Norte,Não,9.28,2024-10-05
A-0213,2,26.5,1000,Transformador,Zona Oeste,Não,18.66,2013-04-06
A-0214,2,12.2,100,Seccionalizador,Zona Norte,Não,11.57,2021-11-17
A-0215,3,20.2,500,Religador,Centro,Sim,21.52,2012-12-10
A-0216,1,3.5,200,Seccionalizador,Zona Sul,Não,7.53,2024-11-20
A-0217,2,47.8,100,Cabo,Zona Norte,Não,12.57,1993-02-08
A-0218,1,1.6,200,Religador,Zona Oeste,Não,8.45,2024-03-02
A-0219,0,12.3,200,Isolador,Zona Sul,Não,0.09,2020-01-25
A-0220,1,1.4,200,Cabo,Zona Norte,Não,8.01,2024-05-11
A-0221,1,17.8,500,Seccionalizador,Zona Oeste,Sim,6.66,2023-09-23
A-0222,5,4.1,200,Seccionalizador,Zona Oeste,Sim,26.65,2022-07-02
A-0223,3,7.4,200,Seccionalizador,Zona Sul,Não,19.87,2019-12-12
A-0224,0,10.7,200,Transformador,Centro,Não,1.29,2022-11-23
A-0225,1,14.6,50,Cabo,Zona Norte,Sim,5.64,2022-08-31
A-0226,2,7.3,100,Religador,Zona Sul,Sim,9.55,2020-10-15
A-0227,3,9.8,200,Seccionalizador,Centro,Não,16.81,2021-04-23
A-0228,1,10.3,200,Seccionalizador,Centro,Não,9.13,2024-02-01
A-0229,1,8.8,100,Transformador,Zona Sul,Não,7.08,2021-10-07
A-0230,1,7.2,200,Religador,Zona Norte,Não,9.71,2023-03-19
A-0231,1,5.6,200,Cabo,Zona Norte,Não,7.29,2024-10-26
A-0232,3,10.7,100,Isolador,Centro,Não,15.19,2018-11-30
A-0233,4,10.5,200,Transformador,Zona Norte,Não,22.95,2017-01-19
A-0234,1,4.7,100,Cabo,Zona Sul,Não,8.18,2020-12-26
A-0235,3,7.2,1000,Isolador,Centro,Não,23.5,2024-10-13
A-0236,2,1.4,500,Seccionalizador,Centro,Não,16.95,2024-02-05
A-0237,2,6.9,500,Seccionalizador,Zona Sul,Não,15.44,2024-09-13
A-0238,0,1.5,100,Religador,Zona Oeste,Sim,2.47,2024-10-02
A-0239,2,5.7,500,Isolador,Zona Sul,Sim,16.36,2020-12-08
A-0240,1,3.3,500,Seccionalizador,Centro,Sim,10.95,2023-10-25
A-0241,1,4.3,500,Seccionalizador,Zona Norte,Sim,8.0,2024-04-02
A-0242,1,20.7,100,Religador,Zona Oeste,Sim,5.86,2007-11-19
A-0243,0,2.9,200,Cabo,Centro,Sim,3.08,2023-06-11
A-0244,3,6.1,500,Seccionalizador,Zona Sul,Sim,21.14,2023-01-02
A-0245,4,10.7,200,Transformador,Zona Norte,Não,26.16,2019-10-15
A-0246,4,1.1,200,Transformador,Centro,Não,23.53,2024-02-25
A-0247,2,7.4,200,Cabo,Zona Oeste,Sim,10.98,2018-08-25
A-0248,0,10.0,200,Isolador,Zona Sul,Não,4.89,2017-10-30
A-0249,3,3.2,50,Religador,Zona Sul,Não,16.01,2023-08-22
A-0250,2,2.1,200,Transformador,Centro,Não,11.5,2023-03-25
A-0251,1,14.5,50,Transformador,Centro,Não,8.45,2023-12-11
A-0252,2,1.1,200,Cabo,Zona Norte,Sim,12.31,2024-01-09
A-0253,3,6.0,100,Isolador,Zona Norte,Sim,15.73,2021-03-16
A-0254,2,2.8,200,Isolador,Centro,Não,15.14,2023-05-23
A-0255,2,0.5,100,Cabo,Centro,Sim,11.88,2024-12-19
A-0256,4,18.0,200,Transformador,Centro,Não,21.9,2021-07-16
A-0257,0,13.6,500,Religador,Zona Oeste,Sim,1.85,2018-04-30
A-0258,3,19.0,100,Transformador,Zona Sul,Sim,17.46,2006-07-06
A-0259,5,9.2,100,Isolador,Zona Oeste,Sim,23.95,2019-08-17
A-0260,1,2.8,100,Transformador,Centro,Sim,7.57,2024-04-17
A-0261,1,5.5,500,Religador,Zona Oeste,Não,9.69,2021-08-13
A-0262,3,2.0,200,Seccionalizador,Centro,Não,17.63,2023-01-11
A-0263,1,6.7,200,Transformador,Zona Norte,Sim,8.77,2019-07-31
A-0264,1,17.2,100,Cabo,Zona Oeste,Sim,9.04,2017-01-08
A-0265,2,5.5,200,Seccionalizador,Zona Norte,Sim,12.97,2021-12-24
A-0266,2,10.8,500,Cabo,Zona Norte,Sim,14.35,2024-04-17
A-0267,3,10.1,500,Cabo,Centro,Não,19.91,2024-09-12
A-0268,1,2.6,200,Cabo,Centro,Sim,8.32,2023-12-11
A-0269,3,2.6,50,Transformador,Zona Sul,Não,16.19,2023-05-12
A-0270,2,13.4,100,Isolador,Zona Sul,Não,10.85,2015-02-14
A-0271,2,3.8,50,Seccionalizador,Zona Sul,Sim,9.84,2024-03-18
A-0272,6,11.2,100,Religador,Zona Norte,Não,29.72,2015-09-07
A-0273,3,3.7,100,Isolador,Zona Sul,Não,16.65,2023-10-09
A-0274,3,4.5,100,Transformador,Centro,Não,14.99,2024-07-14
A-0275,2,11.0,200,Cabo,Centro,Não,14.72,2022-11-27
A-0276,4,7.2,1000,Religador,Zona Oeste,Não,29.11,2020-08-13
A-0277,0,6.3,200,Seccionalizador,Centro,Não,3.53,2022-12-31
A-0278,2,3.4,500,Isolador,Zona Sul,Sim,15.0,2021-12-27
A-0279,1,9.1,500,Isolador,Centro,Não,9.15,2020-03-10
A-0280,3,4.0,100,Religador,Zona Sul,Não,14.74,2021-09-13
A-0281,2,12.2,500,Transformador,Zona Sul,Não,16.11,2021-07-29
A-0282,1,3.5,100,Seccionalizador,Centro,Não,5.56,2022-10-27
A-0283,1,6.2,200,Religador,Centro,Não,5.87,2020-10-12
A-0284,3,12.3,200,Cabo,Zona Sul,Sim,18.64,2021-06-14
A-0285,1,10.4,1000,Seccionalizador,Zona Norte,Sim,10.46,2022-11-24
A-0286,1,11.0,100,Isolador,Centro,Não,4.87,2023-10-18
A-0287,2,7.5,100,Religador,Zona Sul,Não,9.58,2024-03-21
A-0288,0,2.8,1000,Isolador,Centro,Não,4.01,2023-10-26
A-0289,3,14.9,50,Isolador,Zona Oeste,Não,15.84,2017-02-23
A-0290,3,8.2,200,Isolador,Zona Norte,Não,17.14,2020-11-10
A-0291,1,4.8,500,Transformador,Centro,Não,9.29,2023-10-07
A-0292,2,4.4,500,Isolador,Zona Sul,Sim,14.65,2023-02-13
A-0293,3,23.4,1000,Cabo,Zona Norte,Não,23.89,2010-03-10
A-0294,2,7.1,1000,Cabo,Centro,Não,18.13,2022-07-30
A-0295,3,2.2,50,Seccionalizador,Zona Norte,Não,12.19,2024-07-19
A-0296,2,18.4,500,Isolador,Centro,Não,16.32,2019-04-10
A-0297,0,6.2,200,Isolador,Centro,Não,2.47,2022-05-17
A-0298,1,5.0,200,Religador,Centro,Sim,8.12,2021-01-23
A-0299,1,3.0,100,Transformador,Zona Norte,Sim,7.88,2022-02-26
A-0300,1,8.5,200,Seccionalizador,Centro,Não,9.92,2024-03-30
A-0301,1,15.5,1000,Isolador,Zona Sul,Sim,7.19,2012-01-05
A-0302,0,8.7,1000,Religador,Zona Sul,Sim,0.15,2019-08-08
A-0303,2,5.4,200,Transformador,Zona Norte,Sim,11.5,2020-04-07
A-0304,1,1.8,50,Seccionalizador,Zona Sul,Não,8.86,2023-12-26
A-0305,3,6.5,200,Seccionalizador,Zona Oeste,Sim,19.49,2020-10-07
A-0306,2,10.0,500,Isolador,Zona Norte,Não,15.51,2019-09-10
A-0307,2,3.8,500,Seccionalizador,Zona Sul,Não,12.67,2023-06-07
A-0308,0,19.0,200,Religador,Centro,Não,4.4,2018-09-15
A-0309,1,5.6,50,Seccionalizador,Zona Oeste,Não,8.0,2020-07-23
A-0310,1,10.6,200,Cabo,Centro,Sim,8.63,2020-02-15
A-0311,3,5.8,200,Religador,Zona Norte,Não,17.61,2022-11-13
A-0312,1,14.1,1000,Transformador,Zona Sul,Não,7.26,2014-01-05
A-0313,2,9.1,200,Transformador,Centro,Não,13.51,2018-02-24
A-0314,2,22.7,200,Isolador,Centro,Não,14.21,2010-03-09
A-0315,3,9.3,200,Isolador,Zona Norte,Não,16.38,2020-08-27
A-0316,4,12.0,50,Cabo,Zona Norte,Sim,18.9,2015-05-14
A-0317,0,9.7,1000,Transformador,Zona Sul,Sim,1.43,2023-04-23
A-0318,2,2.8,200,Transformador,Zona Oeste,Não,14.43,2023-07-10
A-0319,1,18.1,200,Transformador,Centro,Sim,8.0,2021-05-19
A-0320,3,10.7,200,Transformador,Centro,Sim,16.56,2019-01-05
A-0321,1,12.3,200,Seccionalizador,Zona Sul,Não,7.94,2024-09-07
A-0322,1,16.5,200,Religador,Zona Norte,Sim,7.28,2013-01-10
A-0323,2,17.0,500,Religador,Zona Sul,Sim,13.33,2009-07-29
A-0324,2,3.1,100,Cabo,Centro,Não,13.44,2023-03-07
A-0325,0,2.5,200,Seccionalizador,Zona Norte,Não,0.06,2023-02-11
A-0326,1,4.1,100,Transformador,Zona Norte,Sim,6.18,2021-08-29
A-0327,4,2.6,200,Transformador,Zona Norte,Não,21.28,2023-04-07
A-0328,3,5.7,50,Isolador,Zona Norte,Não,12.28,2024-09-19
A-0329,0,2.9,200,Isolador,Zona Norte,Não,1.49,2024-12-17
A-0330,1,3.1,500,Cabo,Zona Norte,Sim,6.49,2024-01-25
A-0331,0,10.4,500,Transformador,Centro,Sim,2.98,2019-07-11
A-0332,2,1.6,200,Cabo,Centro,Não,11.04,2024-04-26
A-0333,1,8.4,200,Seccionalizador,Zona Norte,Sim,8.81,2018-11-08
A-0334,2,14.9,50,Religador,Zona Norte,Não,8.13,2014-09-12
A-0335,4,14.8,200,Transformador,Zona Norte,Não,21.51,2024-08-29
A-0336,0,12.5,500,Seccionalizador,Zona Norte,Não,1.53,2022-06-10
A-0337,2,13.7,100,Transformador,Zona Sul,Não,13.71,2023-02-19
A-0338,2,13.1,200,Isolador,Zona Oeste,Não,13.81,2022-05-07
A-0339,1,3.0,500,Cabo,Centro,Sim,10.07,2023-06-22
A-0340,0,6.7,500,Isolador,Centro,Sim,0.71,2022-05-31
A-0341,3,12.8,100,Religador,Centro,Não,18.02,2022-05-07
A-0342,3,5.5,200,Isolador,Zona Sul,Sim,15.95,2022-12-27
A-0343,2,5.5,100,Transformador,Zona Norte,Não,10.3,2021-08-31
A-0344,0,9.9,100,Isolador,Centro,Não,3.08,2021-07-03
A-0345,1,25.0,1000,Transformador,Zona Sul,Não,8.78,2000-01-31
A-0346,2,14.5,500,Religador,Centro,Não,17.35,2018-05-08
A-0347,5,1.6,500,Isolador,Zona Norte,Não,31.23,2024-02-29
A-0348,2,9.2,50,Cabo,Zona Norte,Sim,12.86,2017-08-21
A-0349,3,3.4,500,Cabo,Zona Sul,Não,21.77,2024-04-30
A-0350,2,15.1,200,Cabo,Centro,Sim,13.4,2018-08-22
A-0351,2,19.3,200,Isolador,Zona Oeste,Não,10.9,2024-01-09
A-0352,5,27.7,200,Isolador,Zona Sul,Sim,27.88,2023-05-20
A-0353,4,14.7,50,Isolador,Centro,Não,20.35,2020-08-02
